procs, 1, 	units, 445, 	weights, 396050, 	cycles, 40000, 	con_trav, 1.5842e+10, 	secs, 210.66, 	mpisecs, 210.641, 	Mcon/sec, 75.2017
procs, 1, 	units, 450, 	weights, 405000, 	cycles, 40000, 	con_trav, 1.62e+10, 	secs, 215.59, 	mpisecs, 215.578, 	Mcon/sec, 75.1426
procs, 1, 	units, 455, 	weights, 414050, 	cycles, 40000, 	con_trav, 1.6562e+10, 	secs, 219.59, 	mpisecs, 219.565, 	Mcon/sec, 75.4224
procs, 1, 	units, 460, 	weights, 423200, 	cycles, 40000, 	con_trav, 1.6928e+10, 	secs, 224.59, 	mpisecs, 224.569, 	Mcon/sec, 75.3729
procs, 1, 	units, 465, 	weights, 432450, 	cycles, 40000, 	con_trav, 1.7298e+10, 	secs, 229.6, 	mpisecs, 229.581, 	Mcon/sec, 75.3397
procs, 1, 	units, 470, 	weights, 441800, 	cycles, 40000, 	con_trav, 1.7672e+10, 	secs, 234.42, 	mpisecs, 234.398, 	Mcon/sec, 75.3861
procs, 1, 	units, 475, 	weights, 451250, 	cycles, 40000, 	con_trav, 1.805e+10, 	secs, 238.83, 	mpisecs, 238.807, 	Mcon/sec, 75.5768
procs, 1, 	units, 480, 	weights, 460800, 	cycles, 40000, 	con_trav, 1.8432e+10, 	secs, 244.2, 	mpisecs, 244.178, 	Mcon/sec, 75.4791
procs, 1, 	units, 485, 	weights, 470450, 	cycles, 40000, 	con_trav, 1.8818e+10, 	secs, 250.18, 	mpisecs, 250.153, 	Mcon/sec, 75.2178
procs, 1, 	units, 490, 	weights, 480200, 	cycles, 40000, 	con_trav, 1.9208e+10, 	secs, 253.43, 	mpisecs, 253.41, 	Mcon/sec, 75.7921
procs, 1, 	units, 495, 	weights, 490050, 	cycles, 40000, 	con_trav, 1.9602e+10, 	secs, 258.75, 	mpisecs, 258.724, 	Mcon/sec, 75.7565
procs, 1, 	units, 500, 	weights, 500000, 	cycles, 40000, 	con_trav, 2e+10, 	secs, 263.95, 	mpisecs, 263.923, 	Mcon/sec, 75.7719
