procs, 16, 	units, 355, 	weights, 252050, 	cycles, 40000, 	con_trav, 1.0082e+10, 	secs, 16.14, 	mpisecs, 16.1371, 	Mcon/sec, 624.659
procs, 16, 	units, 360, 	weights, 259200, 	cycles, 40000, 	con_trav, 1.0368e+10, 	secs, 16.37, 	mpisecs, 16.3698, 	Mcon/sec, 633.354
procs, 16, 	units, 365, 	weights, 266450, 	cycles, 40000, 	con_trav, 1.0658e+10, 	secs, 16.78, 	mpisecs, 16.7796, 	Mcon/sec, 635.161
procs, 16, 	units, 370, 	weights, 273800, 	cycles, 40000, 	con_trav, 1.0952e+10, 	secs, 17.04, 	mpisecs, 17.0376, 	Mcon/sec, 642.723
procs, 16, 	units, 375, 	weights, 281250, 	cycles, 40000, 	con_trav, 1.125e+10, 	secs, 17.26, 	mpisecs, 17.2533, 	Mcon/sec, 651.796
procs, 16, 	units, 380, 	weights, 288800, 	cycles, 40000, 	con_trav, 1.1552e+10, 	secs, 17.62, 	mpisecs, 17.6188, 	Mcon/sec, 655.619
procs, 16, 	units, 385, 	weights, 296450, 	cycles, 40000, 	con_trav, 1.1858e+10, 	secs, 17.99, 	mpisecs, 17.9856, 	Mcon/sec, 659.144
procs, 16, 	units, 390, 	weights, 304200, 	cycles, 40000, 	con_trav, 1.2168e+10, 	secs, 18.31, 	mpisecs, 18.315, 	Mcon/sec, 664.555
procs, 16, 	units, 395, 	weights, 312050, 	cycles, 40000, 	con_trav, 1.2482e+10, 	secs, 18.53, 	mpisecs, 18.5211, 	Mcon/sec, 673.61
procs, 16, 	units, 400, 	weights, 320000, 	cycles, 40000, 	con_trav, 1.28e+10, 	secs, 18.93, 	mpisecs, 18.9305, 	Mcon/sec, 676.175
procs, 16, 	units, 405, 	weights, 328050, 	cycles, 40000, 	con_trav, 1.3122e+10, 	secs, 19.25, 	mpisecs, 19.2441, 	Mcon/sec, 681.662
procs, 16, 	units, 410, 	weights, 336200, 	cycles, 40000, 	con_trav, 1.3448e+10, 	secs, 19.7, 	mpisecs, 19.6961, 	Mcon/sec, 682.64
procs, 16, 	units, 415, 	weights, 344450, 	cycles, 40000, 	con_trav, 1.3778e+10, 	secs, 19.94, 	mpisecs, 19.9441, 	Mcon/sec, 690.973
procs, 16, 	units, 420, 	weights, 352800, 	cycles, 40000, 	con_trav, 1.4112e+10, 	secs, 20.32, 	mpisecs, 20.3224, 	Mcon/sec, 694.488
procs, 16, 	units, 425, 	weights, 361250, 	cycles, 40000, 	con_trav, 1.445e+10, 	secs, 20.67, 	mpisecs, 20.6683, 	Mcon/sec, 699.081
procs, 16, 	units, 430, 	weights, 369800, 	cycles, 40000, 	con_trav, 1.4792e+10, 	secs, 21, 	mpisecs, 20.998, 	Mcon/sec, 704.381
procs, 16, 	units, 435, 	weights, 378450, 	cycles, 40000, 	con_trav, 1.5138e+10, 	secs, 21.25, 	mpisecs, 21.2446, 	Mcon/sec, 712.376
procs, 16, 	units, 440, 	weights, 387200, 	cycles, 40000, 	con_trav, 1.5488e+10, 	secs, 21.55, 	mpisecs, 21.5533, 	Mcon/sec, 718.701
procs, 16, 	units, 445, 	weights, 396050, 	cycles, 40000, 	con_trav, 1.5842e+10, 	secs, 21.96, 	mpisecs, 21.9615, 	Mcon/sec, 721.403
procs, 16, 	units, 450, 	weights, 405000, 	cycles, 40000, 	con_trav, 1.62e+10, 	secs, 22.49, 	mpisecs, 22.4896, 	Mcon/sec, 720.32
procs, 16, 	units, 455, 	weights, 414050, 	cycles, 40000, 	con_trav, 1.6562e+10, 	secs, 22.81, 	mpisecs, 22.815, 	Mcon/sec, 726.085
procs, 16, 	units, 460, 	weights, 423200, 	cycles, 40000, 	con_trav, 1.6928e+10, 	secs, 23.13, 	mpisecs, 23.1221, 	Mcon/sec, 731.863
procs, 16, 	units, 465, 	weights, 432450, 	cycles, 40000, 	con_trav, 1.7298e+10, 	secs, 23.54, 	mpisecs, 23.5368, 	Mcon/sec, 734.834
procs, 16, 	units, 470, 	weights, 441800, 	cycles, 40000, 	con_trav, 1.7672e+10, 	secs, 23.93, 	mpisecs, 23.9306, 	Mcon/sec, 738.487
procs, 16, 	units, 475, 	weights, 451250, 	cycles, 40000, 	con_trav, 1.805e+10, 	secs, 24.34, 	mpisecs, 24.3445, 	Mcon/sec, 741.578
procs, 16, 	units, 480, 	weights, 460800, 	cycles, 40000, 	con_trav, 1.8432e+10, 	secs, 24.61, 	mpisecs, 24.6056, 	Mcon/sec, 748.964
procs, 16, 	units, 485, 	weights, 470450, 	cycles, 40000, 	con_trav, 1.8818e+10, 	secs, 25.07, 	mpisecs, 25.0596, 	Mcon/sec, 750.618
procs, 16, 	units, 490, 	weights, 480200, 	cycles, 40000, 	con_trav, 1.9208e+10, 	secs, 25.55, 	mpisecs, 25.5509, 	Mcon/sec, 751.781
procs, 16, 	units, 495, 	weights, 490050, 	cycles, 40000, 	con_trav, 1.9602e+10, 	secs, 25.84, 	mpisecs, 25.8384, 	Mcon/sec, 758.591
procs, 16, 	units, 500, 	weights, 500000, 	cycles, 40000, 	con_trav, 2e+10, 	secs, 26.31, 	mpisecs, 26.3157, 	Mcon/sec, 760.167
