procs, 1, 	units, 310, 	weights, 192200, 	cycles, 40000, 	con_trav, 7.688e+09, 	secs, 0.2, 	mpisecs, 0.205484, 	Mcon/sec, 38440
procs, 1, 	units, 315, 	weights, 198450, 	cycles, 40000, 	con_trav, 7.938e+09, 	secs, 0.2, 	mpisecs, 0.205296, 	Mcon/sec, 39690
procs, 1, 	units, 320, 	weights, 204800, 	cycles, 40000, 	con_trav, 8.192e+09, 	secs, 0.21, 	mpisecs, 0.21071, 	Mcon/sec, 39009.5
procs, 1, 	units, 325, 	weights, 211250, 	cycles, 40000, 	con_trav, 8.45e+09, 	secs, 0.21, 	mpisecs, 0.211798, 	Mcon/sec, 40238.1
procs, 1, 	units, 330, 	weights, 217800, 	cycles, 40000, 	con_trav, 8.712e+09, 	secs, 0.22, 	mpisecs, 0.217491, 	Mcon/sec, 39600
procs, 1, 	units, 335, 	weights, 224450, 	cycles, 40000, 	con_trav, 8.978e+09, 	secs, 0.22, 	mpisecs, 0.217912, 	Mcon/sec, 40809.1
procs, 1, 	units, 340, 	weights, 231200, 	cycles, 40000, 	con_trav, 9.248e+09, 	secs, 0.23, 	mpisecs, 0.222651, 	Mcon/sec, 40208.7
procs, 1, 	units, 345, 	weights, 238050, 	cycles, 40000, 	con_trav, 9.522e+09, 	secs, 0.22, 	mpisecs, 0.223706, 	Mcon/sec, 43281.8
procs, 1, 	units, 350, 	weights, 245000, 	cycles, 40000, 	con_trav, 9.8e+09, 	secs, 0.22, 	mpisecs, 0.226235, 	Mcon/sec, 44545.5
procs, 1, 	units, 355, 	weights, 252050, 	cycles, 40000, 	con_trav, 1.0082e+10, 	secs, 0.23, 	mpisecs, 0.232643, 	Mcon/sec, 43834.8
procs, 1, 	units, 360, 	weights, 259200, 	cycles, 40000, 	con_trav, 1.0368e+10, 	secs, 0.24, 	mpisecs, 0.235087, 	Mcon/sec, 43200
