procs, 8, 	units, 265, 	weights, 140450, 	cycles, 40000, 	con_trav, 5.618e+09, 	secs, 3.56, 	mpisecs, 3.55791, 	Mcon/sec, 1578.09
procs, 8, 	units, 270, 	weights, 145800, 	cycles, 40000, 	con_trav, 5.832e+09, 	secs, 3.56, 	mpisecs, 3.55435, 	Mcon/sec, 1638.2
procs, 8, 	units, 275, 	weights, 151250, 	cycles, 40000, 	con_trav, 6.05e+09, 	secs, 3.57, 	mpisecs, 3.566, 	Mcon/sec, 1694.68
procs, 8, 	units, 280, 	weights, 156800, 	cycles, 40000, 	con_trav, 6.272e+09, 	secs, 3.58, 	mpisecs, 3.57658, 	Mcon/sec, 1751.96
procs, 8, 	units, 285, 	weights, 162450, 	cycles, 40000, 	con_trav, 6.498e+09, 	secs, 3.6, 	mpisecs, 3.59976, 	Mcon/sec, 1805
procs, 8, 	units, 290, 	weights, 168200, 	cycles, 40000, 	con_trav, 6.728e+09, 	secs, 3.62, 	mpisecs, 3.62271, 	Mcon/sec, 1858.56
procs, 8, 	units, 295, 	weights, 174050, 	cycles, 40000, 	con_trav, 6.962e+09, 	secs, 3.61, 	mpisecs, 3.61116, 	Mcon/sec, 1928.53
procs, 8, 	units, 300, 	weights, 180000, 	cycles, 40000, 	con_trav, 7.2e+09, 	secs, 3.64, 	mpisecs, 3.63562, 	Mcon/sec, 1978.02
procs, 8, 	units, 305, 	weights, 186050, 	cycles, 40000, 	con_trav, 7.442e+09, 	secs, 3.65, 	mpisecs, 3.64465, 	Mcon/sec, 2038.9
procs, 8, 	units, 310, 	weights, 192200, 	cycles, 40000, 	con_trav, 7.688e+09, 	secs, 3.63, 	mpisecs, 3.6336, 	Mcon/sec, 2117.91
procs, 8, 	units, 315, 	weights, 198450, 	cycles, 40000, 	con_trav, 7.938e+09, 	secs, 3.66, 	mpisecs, 3.66006, 	Mcon/sec, 2168.85
procs, 8, 	units, 320, 	weights, 204800, 	cycles, 40000, 	con_trav, 8.192e+09, 	secs, 3.66, 	mpisecs, 3.66126, 	Mcon/sec, 2238.25
procs, 8, 	units, 325, 	weights, 211250, 	cycles, 40000, 	con_trav, 8.45e+09, 	secs, 3.66, 	mpisecs, 3.65518, 	Mcon/sec, 2308.74
procs, 8, 	units, 330, 	weights, 217800, 	cycles, 40000, 	con_trav, 8.712e+09, 	secs, 3.68, 	mpisecs, 3.67796, 	Mcon/sec, 2367.39
procs, 8, 	units, 335, 	weights, 224450, 	cycles, 40000, 	con_trav, 8.978e+09, 	secs, 3.69, 	mpisecs, 3.68854, 	Mcon/sec, 2433.06
procs, 8, 	units, 340, 	weights, 231200, 	cycles, 40000, 	con_trav, 9.248e+09, 	secs, 3.7, 	mpisecs, 3.69483, 	Mcon/sec, 2499.46
procs, 8, 	units, 345, 	weights, 238050, 	cycles, 40000, 	con_trav, 9.522e+09, 	secs, 3.71, 	mpisecs, 3.70631, 	Mcon/sec, 2566.58
