Epoch_0_H:	|epoch	avg_sum_se	
Epoch_0_D:	373	0.304972	
Epoch_0_D:	374	0.309383	
Epoch_0_D:	375	0.308767	
Epoch_0_D:	376	0.310685	
Epoch_0_D:	377	0.312141	
Epoch_0_D:	378	0.312752	
Epoch_0_D:	379	0.313289	
Epoch_0_D:	380	0.376291	
Epoch_0_D:	381	0.362145	
Epoch_0_D:	382	0.350693	
Epoch_0_D:	383	0.344875	
Epoch_0_D:	384	0.3461		
Epoch_0_D:	385	0.346275	
Epoch_0_D:	386	0.350953	
Epoch_0_D:	387	0.350493	
Epoch_0_D:	388	0.34984		
Epoch_0_D:	389	0.348106	
Epoch_0_D:	390	0.437705	
Epoch_0_D:	391	0.401324	
Epoch_0_D:	392	0.382266	
Epoch_0_D:	393	0.374827	
Epoch_0_D:	394	0.376134	
Epoch_0_D:	395	0.37736		
Epoch_0_D:	396	0.375775	
Epoch_0_D:	397	0.373732	
Epoch_0_D:	398	0.372998	
Epoch_0_D:	399	0.376083	
Epoch_0_D:	400	0.380541	
Epoch_0_D:	401	0.3513		
Epoch_0_D:	402	0.353095	
Epoch_0_D:	403	0.349034	
Epoch_0_D:	404	0.346513	
Epoch_0_D:	405	0.342917	
Epoch_0_D:	406	0.346053	
Epoch_0_D:	407	0.345572	
Epoch_0_D:	408	0.345998	
Epoch_0_D:	409	0.345579	
Epoch_0_D:	410	0.389259	
Epoch_0_D:	411	0.374938	
Epoch_0_D:	412	0.366859	
Epoch_0_D:	413	0.361626	
Epoch_0_D:	414	0.371209	
Epoch_0_D:	415	0.373795	
Epoch_0_D:	416	0.380664	
Epoch_0_D:	417	0.386221	
Epoch_0_D:	418	0.386684	
Epoch_0_D:	419	0.385872	
Epoch_0_D:	420	0.398884	
Epoch_0_D:	421	0.360129	
Epoch_0_D:	422	0.336995	
Epoch_0_D:	423	0.323481	
Epoch_0_D:	424	0.310785	
Epoch_0_D:	425	0.309598	
Epoch_0_D:	426	0.309971	
Epoch_0_D:	427	0.315839	
Epoch_0_D:	428	0.315685	
Epoch_0_D:	429	0.319327	
Epoch_0_D:	430	0.396913	
Epoch_0_D:	431	0.354847	
Epoch_0_D:	432	0.365259	
Epoch_0_D:	433	0.360342	
Epoch_0_D:	434	0.363633	
Epoch_0_D:	435	0.364772	
Epoch_0_D:	436	0.36948		
Epoch_0_D:	437	0.369226	
Epoch_0_D:	438	0.370277	
Epoch_0_D:	439	0.370399	
Epoch_0_D:	440	0.454858	
